No.,Symbol,Company Name,Revenue,Stock Price,% Change,Market Cap
294,WRB,W. R. Berkley Corporation,13.64B,62.05,0.63%,23.53B
295,XEL,Xcel Energy Inc.,13.44B,67.78,0.52%,38.94B
296,DKS,"DICK'S Sporting Goods, Inc.",13.43B,215.39,-4.29%,17.55B
297,FE,FirstEnergy Corp.,13.29B,38.27,0.93%,22.07B
298,RJF,"Raymond James Financial, Inc.",13.24B,143.65,-2.04%,29.44B
299,SRE,Sempra,13.19B,69.30,-1.61%,45.15B
300,GLW,Corning Incorporated,13.12B,45.40,-1.23%,38.89B
301,LUMN,"Lumen Technologies, Inc.",13.11B,5.03,2.44%,5.10B
302,DXC,DXC Technology Company,13.09B,17.94,2.62%,3.25B
303,LH,Labcorp Holdings Inc.,13.01B,253.90,-0.04%,21.25B
304,DFS,Discover Financial Services,13.00B,173.96,-3.59%,43.77B
305,STT,State Street Corporation,12.93B,89.23,-1.61%,25.74B
306,UNM,Unum Group,12.89B,79.74,-1.28%,14.10B
307,DVA,DaVita Inc.,12.82B,140.46,3.77%,11.24B
308,EQH,"Equitable Holdings, Inc.",12.76B,49.81,-2.40%,15.33B
309,K,Kellanova,12.75B,82.44,0.16%,28.46B
310,HSIC,"Henry Schein, Inc.",12.67B,73.00,1.14%,9.06B
311,BX,Blackstone Inc.,12.66B,144.95,-2.51%,177.01B
312,HES,Hess Corporation,12.66B,143.23,2.86%,43.98B
313,R,"Ryder System, Inc.",12.64B,155.01,-3.83%,6.52B
314,CYH,"Community Health Systems, Inc.",12.63B,2.910,-2.72%,385.32M
315,DTE,DTE Energy Company,12.46B,130.35,0.98%,27.01B
316,DD,"DuPont de Nemours, Inc.",12.39B,78.40,-1.45%,32.78B
317,BERY,"Berry Global Group, Inc.",12.31B,71.93,2.14%,8.33B
318,MTZ,"MasTec, Inc.",12.30B,120.09,-5.00%,9.39B
319,AES,The AES Corporation,12.28B,10.92,4.00%,7.76B
320,WLK,Westlake Corporation,12.14B,111.29,0.49%,14.27B
321,NSC,Norfolk Southern Corporation,12.12B,238.19,1.22%,53.93B
322,JBHT,"J.B. Hunt Transport Services, Inc.",12.09B,161.45,-0.70%,16.15B
323,LPLA,LPL Financial Holdings Inc.,12.08B,337.81,-2.35%,25.19B
324,APD,"Air Products and Chemicals, Inc.",12.03B,310.74,0.26%,69.13B
325,CAG,"Conagra Brands, Inc.",11.93B,26.11,6.47%,12.46B
